id:0,x:0.5223335027694702,y:0.37437787652015686
id:1,x:0.5190772414207458,y:0.3602476119995117
id:2,x:0.5209226012229919,y:0.36484503746032715
id:3,x:0.5128801465034485,y:0.3433169722557068
id:4,x:0.5186676979064941,y:0.3551037609577179
id:5,x:0.5188866257667542,y:0.3482380509376526
id:6,x:0.5202207565307617,y:0.3312658667564392
id:7,x:0.46438363194465637,y:0.32972651720046997
id:8,x:0.5202273726463318,y:0.31696996092796326
id:9,x:0.519848108291626,y:0.3099992871284485
id:10,x:0.5194053649902344,y:0.2862778604030609
id:11,x:0.5225058794021606,y:0.37641146779060364
id:12,x:0.522846519947052,y:0.378487229347229
id:13,x:0.5232915878295898,y:0.3798254430294037
id:14,x:0.5236681699752808,y:0.3863014280796051
id:15,x:0.5236902832984924,y:0.3891568183898926
id:16,x:0.5238080024719238,y:0.39264562726020813
id:17,x:0.524135947227478,y:0.3960608243942261
id:18,x:0.5244975090026855,y:0.39975637197494507
id:19,x:0.5197035670280457,y:0.362726092338562
id:20,x:0.5133099555969238,y:0.36255162954330444
id:21,x:0.4418366253376007,y:0.3099186420440674
id:22,x:0.48772189021110535,y:0.33419662714004517
id:23,x:0.4795694649219513,y:0.33461931347846985
id:24,x:0.4718666672706604,y:0.3344610631465912
id:25,x:0.46197956800460815,y:0.3315054774284363
id:26,x:0.49459898471832275,y:0.3331919312477112
id:27,x:0.4740755259990692,y:0.3187509775161743
id:28,x:0.4841092526912689,y:0.3195483982563019
id:29,x:0.46516597270965576,y:0.31971046328544617
id:30,x:0.45990443229675293,y:0.32199156284332275
id:31,x:0.4567096531391144,y:0.3347778618335724
id:32,x:0.49734169244766235,y:0.40357449650764465
id:33,x:0.46186378598213196,y:0.32816511392593384
id:34,x:0.43921828269958496,y:0.33151036500930786
id:35,x:0.449495404958725,y:0.3309054672718048
id:36,x:0.4834611713886261,y:0.35539087653160095
id:37,x:0.5133565068244934,y:0.3735387325286865
id:38,x:0.5149475932121277,y:0.37853384017944336
id:39,x:0.5052444338798523,y:0.3758602738380432
id:40,x:0.5001940727233887,y:0.3781316876411438
id:41,x:0.5086553692817688,y:0.3792174756526947
id:42,x:0.5040392875671387,y:0.3802115023136139
id:43,x:0.48989155888557434,y:0.387579083442688
id:44,x:0.5127572417259216,y:0.3601452708244324
id:45,x:0.5112670063972473,y:0.35524576902389526
id:46,x:0.44985854625701904,y:0.3174363672733307
id:47,x:0.49894070625305176,y:0.3424482047557831
id:48,x:0.49734076857566833,y:0.3585881292819977
id:49,x:0.4968588948249817,y:0.3558257818222046
id:50,x:0.46108803153038025,y:0.3547268807888031
id:51,x:0.5118706226348877,y:0.34884563088417053
id:52,x:0.46528735756874084,y:0.3121645450592041
id:53,x:0.45543181896209717,y:0.3136860132217407
id:54,x:0.4473220705986023,y:0.30115437507629395
id:55,x:0.5010940432548523,y:0.31646424531936646
id:56,x:0.49278292059898376,y:0.32215234637260437
id:57,x:0.4845377802848816,y:0.3819206953048706
id:58,x:0.45569872856140137,y:0.3769542872905731
id:59,x:0.5033943057060242,y:0.36138418316841125
id:60,x:0.509276270866394,y:0.3628605306148529
id:61,x:0.4949977397918701,y:0.3820294737815857
id:62,x:0.49711111187934875,y:0.38212454319000244
id:63,x:0.45213279128074646,y:0.31060048937797546
id:64,x:0.49766290187835693,y:0.36070817708969116
id:65,x:0.47977179288864136,y:0.3125985264778137
id:66,x:0.478008896112442,y:0.3086461126804352
id:67,x:0.4746788740158081,y:0.28951799869537354
id:68,x:0.45058009028434753,y:0.3056640625
id:69,x:0.4783075153827667,y:0.2986795902252197
id:70,x:0.4466109573841095,y:0.3152191638946533
id:71,x:0.44459211826324463,y:0.3127341866493225
